,Open time,Open time.1,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore.
0,2019-10-27 00:15:00,2019-10-27 00:15:00,9098.98,9099.28,9093.75,9096.08,18.214,2019-10-27 00:19:59.999,165703.65778,134.0,13.588,123623.49517,0
1,2019-10-27 00:20:00,2019-10-27 00:20:00,9098.35,9209.0,9098.35,9161.77,447.869,2019-10-27 00:24:59.999,4106049.98619,1289.0,273.84,2510367.69976,0
2,2019-10-27 00:25:00,2019-10-27 00:25:00,9162.42,9200.02,9158.81,9187.0,238.427,2019-10-27 00:29:59.999,2189889.52184,700.0,154.274,1417007.52475,0
3,2019-10-27 00:30:00,2019-10-27 00:30:00,9189.93,9221.45,9133.06,9168.09,363.821,2019-10-27 00:34:59.999,3338135.44241,986.0,169.198,1552774.78802,0
4,2019-10-27 00:35:00,2019-10-27 00:35:00,9168.07,9182.65,9160.0,9167.63,76.889,2019-10-27 00:39:59.999,704745.80208,287.0,32.041,293820.05081,0
5,2019-10-27 00:40:00,2019-10-27 00:40:00,9167.63,9195.62,9160.71,9165.02,107.434,2019-10-27 00:44:59.999,985657.78991,469.0,71.926,659995.44713,0
6,2019-10-27 00:45:00,2019-10-27 00:45:00,9165.02,9195.61,9161.34,9176.71,86.677,2019-10-27 00:49:59.999,795920.35168,358.0,47.953,440484.34933,0
7,2019-10-27 00:50:00,2019-10-27 00:50:00,9176.71,9219.43,9175.56,9185.38,480.526,2019-10-27 00:54:59.999,4421781.3669,688.0,220.323,2027369.0364,0
8,2019-10-27 00:55:00,2019-10-27 00:55:00,9189.2,9230.54,9187.47,9212.63,368.345,2019-10-27 00:59:59.999,3393567.34856,642.0,187.464,1726272.34883,0
9,2019-10-27 01:00:00,2019-10-27 01:00:00,9214.15,9222.68,9187.9,9222.68,286.509,2019-10-27 01:04:59.999,2636636.18653,584.0,174.256,1603888.62348,0
10,2019-10-27 01:05:00,2019-10-27 01:05:00,9223.4,9230.0,9200.0,9200.0,231.076,2019-10-27 01:09:59.999,2129745.27279,502.0,58.922,543094.59322,0
11,2019-10-27 01:10:00,2019-10-27 01:10:00,9200.0,9247.0,9195.05,9226.62,424.071,2019-10-27 01:14:59.999,3914074.39081,742.0,259.159,2391416.58617,0
12,2019-10-27 01:15:00,2019-10-27 01:15:00,9226.63,9228.87,9182.19,9195.0,549.73,2019-10-27 01:19:59.999,5058208.98531,887.0,230.776,2123383.16703,0
13,2019-10-27 01:20:00,2019-10-27 01:20:00,9193.01,9194.96,9164.61,9191.0,202.736,2019-10-27 01:24:59.999,1861351.63844,602.0,105.075,964962.23066,0
14,2019-10-27 01:25:00,2019-10-27 01:25:00,9191.07,9197.41,9119.71,9164.04,515.594,2019-10-27 01:29:59.999,4720428.54757,1032.0,250.232,2291359.99226,0
15,2019-10-27 01:30:00,2019-10-27 01:30:00,9169.5,9175.87,9154.88,9158.58,323.449,2019-10-27 01:34:59.999,2964001.31684,503.0,142.305,1304205.68479,0
16,2019-10-27 01:35:00,2019-10-27 01:35:00,9155.76,9185.0,9154.57,9165.97,291.61,2019-10-27 01:39:59.999,2673218.84929,528.0,162.005,1484730.28254,0
17,2019-10-27 01:40:00,2019-10-27 01:40:00,9165.34,9178.56,9157.3,9161.0,63.248,2019-10-27 01:44:59.999,579800.41692,277.0,34.295,314416.71468,0
18,2019-10-27 01:45:00,2019-10-27 01:45:00,9160.45,9163.81,9131.18,9137.9,103.351,2019-10-27 01:49:59.999,945504.01143,451.0,32.777,299876.24372,0
19,2019-10-27 01:50:00,2019-10-27 01:50:00,9132.25,9154.45,9132.24,9154.45,69.158,2019-10-27 01:54:59.999,632505.85379,296.0,50.849,465110.34797,0
20,2019-10-27 01:55:00,2019-10-27 01:55:00,9149.61,9159.3,9145.31,9154.79,35.14,2019-10-27 01:59:59.999,321615.67875,296.0,23.255,212849.60188,0
21,2019-10-27 01:00:00,2019-10-27 01:00:00,9153.04,9157.0,9136.99,9138.8,146.316,2019-10-27 01:04:59.999,1338505.9661,240.0,21.783,199280.3163,0
22,2019-10-27 01:05:00,2019-10-27 01:05:00,9138.53,9148.7,9118.53,9146.6,268.334,2019-10-27 01:09:59.999,2450922.69947,388.0,147.754,1349165.46302,0
23,2019-10-27 01:10:00,2019-10-27 01:10:00,9146.26,9205.76,9145.24,9190.97,413.436,2019-10-27 01:14:59.999,3793417.38471,772.0,244.649,2243868.28171,0
24,2019-10-27 01:15:00,2019-10-27 01:15:00,9189.03,9209.65,9186.71,9187.62,194.512,2019-10-27 01:19:59.999,1788425.59574,491.0,92.878,854178.73682,0
25,2019-10-27 01:20:00,2019-10-27 01:20:00,9187.67,9206.8,9159.21,9188.39,224.094,2019-10-27 01:24:59.999,2057459.79191,469.0,137.864,1265992.20207,0
26,2019-10-27 01:25:00,2019-10-27 01:25:00,9192.94,9198.1,9180.83,9191.57,68.814,2019-10-27 01:29:59.999,632187.17524,254.0,43.335,398184.3048,0
27,2019-10-27 01:30:00,2019-10-27 01:30:00,9191.66,9238.43,9191.41,9225.78,275.149,2019-10-27 01:34:59.999,2537603.51876,614.0,146.55,1351160.31803,0
28,2019-10-27 01:35:00,2019-10-27 01:35:00,9229.09,9300.73,9221.28,9270.96,401.748,2019-10-27 01:39:59.999,3720535.68714,1197.0,223.07,2065498.67635,0
29,2019-10-27 01:40:00,2019-10-27 01:40:00,9270.96,9273.58,9231.46,9242.68,314.626,2019-10-27 01:44:59.999,2910255.05185,584.0,159.455,1474521.92628,0
30,2019-10-27 01:45:00,2019-10-27 01:45:00,9249.95,9274.0,9213.34,9247.0,207.891,2019-10-27 01:49:59.999,1920867.68993,665.0,107.139,990657.66973,0
31,2019-10-27 01:50:00,2019-10-27 01:50:00,9247.2,9255.19,9222.09,9243.32,136.655,2019-10-27 01:54:59.999,1261852.02705,427.0,73.734,680947.75515,0
32,2019-10-27 01:55:00,2019-10-27 01:55:00,9238.86,9253.47,9226.2,9232.22,156.102,2019-10-27 01:59:59.999,1442843.53476,340.0,33.259,307490.88203,0
33,2019-10-27 02:00:00,2019-10-27 02:00:00,9234.75,9279.96,9232.59,9277.99,296.558,2019-10-27 02:04:59.999,2743844.82672,649.0,179.209,1657961.40435,0
34,2019-10-27 02:05:00,2019-10-27 02:05:00,9280.0,9285.0,9236.05,9249.5,309.168,2019-10-27 02:09:59.999,2862053.1892,544.0,148.534,1374124.29852,0
35,2019-10-27 02:10:00,2019-10-27 02:10:00,9249.37,9327.49,9243.72,9313.89,612.584,2019-10-27 02:14:59.999,5686932.87815,1124.0,377.149,3502152.15042,0
36,2019-10-27 02:15:00,2019-10-27 02:15:00,9314.48,9377.08,9314.48,9345.7,683.687,2019-10-27 02:19:59.999,6386311.17,1578.0,338.695,3164121.66915,0
37,2019-10-27 02:20:00,2019-10-27 02:20:00,9345.78,9385.0,9340.05,9367.62,338.459,2019-10-27 02:24:59.999,3168997.68084,774.0,188.462,1764669.09909,0
38,2019-10-27 02:25:00,2019-10-27 02:25:00,9367.61,9367.61,9314.0,9358.0,408.612,2019-10-27 02:29:59.999,3814042.44682,670.0,180.794,1687157.46146,0
39,2019-10-27 02:30:00,2019-10-27 02:30:00,9352.18,9358.18,9231.51,9270.0,1104.866,2019-10-27 02:34:59.999,10260192.99026,1787.0,511.614,4749357.58413,0
40,2019-10-27 02:35:00,2019-10-27 02:35:00,9265.99,9285.33,9240.0,9267.58,754.662,2019-10-27 02:39:59.999,6988030.20325,1081.0,387.772,3589835.90099,0
41,2019-10-27 02:40:00,2019-10-27 02:40:00,9267.55,9272.15,9228.08,9248.65,294.091,2019-10-27 02:44:59.999,2719709.18743,512.0,134.517,1243959.91539,0
42,2019-10-27 02:45:00,2019-10-27 02:45:00,9250.07,9252.54,9189.92,9211.76,644.934,2019-10-27 02:49:59.999,5940793.30135,1040.0,304.278,2802627.21463,0
43,2019-10-27 02:50:00,2019-10-27 02:50:00,9211.89,9233.67,9189.99,9199.0,365.322,2019-10-27 02:54:59.999,3364329.65653,582.0,167.299,1540871.39814,0
44,2019-10-27 02:55:00,2019-10-27 02:55:00,9198.06,9234.61,9181.31,9224.42,498.859,2019-10-27 02:59:59.999,4593112.86857,735.0,262.423,2416008.73699,0
45,2019-10-27 03:00:00,2019-10-27 03:00:00,9222.34,9233.91,9184.94,9188.51,307.021,2019-10-27 03:04:59.999,2828092.54933,621.0,176.619,1627344.21004,0
46,2019-10-27 03:05:00,2019-10-27 03:05:00,9189.51,9194.31,9140.65,9164.4,622.744,2019-10-27 03:09:59.999,5709917.67433,1066.0,290.69,2665117.98845,0
47,2019-10-27 03:10:00,2019-10-27 03:10:00,9161.81,9194.31,9161.45,9182.98,115.812,2019-10-27 03:14:59.999,1062908.27277,333.0,68.371,627344.85838,0
48,2019-10-27 03:15:00,2019-10-27 03:15:00,9182.47,9184.65,9159.31,9162.7,175.856,2019-10-27 03:19:59.999,1613269.78813,291.0,64.255,589582.22087,0
49,2019-10-27 03:20:00,2019-10-27 03:20:00,9162.98,9219.28,9157.55,9197.15,231.683,2019-10-27 03:24:59.999,2129251.34458,501.0,163.842,1505760.0915,0
50,2019-10-27 03:25:00,2019-10-27 03:25:00,9201.85,9203.43,9181.04,9188.95,46.142,2019-10-27 03:29:59.999,424221.9866,279.0,21.763,200150.97961,0
51,2019-10-27 03:30:00,2019-10-27 03:30:00,9188.94,9208.35,9188.94,9189.26,71.095,2019-10-27 03:34:59.999,653880.41326,253.0,49.844,458432.37834,0
52,2019-10-27 03:35:00,2019-10-27 03:35:00,9189.44,9191.0,9164.78,9164.78,215.15,2019-10-27 03:39:59.999,1974306.62421,424.0,66.063,605951.46454,0
53,2019-10-27 03:40:00,2019-10-27 03:40:00,9168.31,9173.11,9120.0,9143.29,277.612,2019-10-27 03:44:59.999,2538488.72156,548.0,112.404,1027468.59825,0
54,2019-10-27 03:45:00,2019-10-27 03:45:00,9143.29,9160.83,9118.13,9130.57,186.057,2019-10-27 03:49:59.999,1699280.49884,446.0,88.193,805399.80627,0
